number,name,status
391,Dictionary-Based Configuration For Logging,Final
372,Adding an ordered dictionary to collections,Final
384,Defining a Stable ABI,Final
357,Allowing Any Object to be Used for Slicing,Final
376,Database of Installed Python Distributions,Final
358,The “bytes” Object,Final
353,Using ssize_t as the index type,Final
389,argparse - New Command Line Parsing Module,Final
352,Required Superclass for Exceptions,Final
380,Syntax for Delegating to a Subgenerator,Final
362,Function Signature Object,Final
378,Format Specifier for Thousands Separator,Final
383,Non-decodable Bytes in System Character Interfaces,Final
366,Main module explicit relative imports,Final
370,Per user site-packages directory,Final
8014,The Commons Governance Model,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8013,The External Council Governance Model,Rejected
371,Addition of the multiprocessing package to the standard library,Final
8010,The Technical Leader Governance Model,Rejected
8015,Organization of the Python community,Rejected
8012,The Community Governance Model,Rejected
3153,Asynchronous IO support,Superseded
3152,Cofunctions,Rejected
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3146,Merging Unladen Swallow into CPython,Withdrawn
3117,Postfix type declarations,Rejected
3142,Add a “while” clause to generator expressions,Rejected
3140,"str(container) should call str(item), not repr(item)",Standards Track
3130,Access to Current Module/Class/Function,Rejected
3125,Remove Backslash Continuation,Rejected
3136,Labeled break and continue,Rejected
3122,Delineation of the main module,Rejected
3128,BList: A Faster List-like Type,Standards Track
3139,Cleaning out sys and the “interpreter” module,Rejected
3133,Introducing Roles,Rejected
775,Make zlib required to build CPython,Standards Track
3001,Procedure for reviewing and improving standard library modules,Withdrawn
769,"Add a ‘default’ keyword argument to ‘attrgetter’, ‘itemgetter’ and ‘getitem’",Standards Track
760,No More Bare Excepts,Withdrawn
2026,Calendar versioning for Python,Process
3103,A Switch/Case Statement,Rejected
806,Mixed sync/async context managers with precise async marking,Rejected
763,Limiting deletions on PyPI,Standards Track
726,Module __setattr__ and __delattr__,Rejected
724,Stricter Type Guards,Withdrawn
754,IEEE 754 Floating Point Special Values,Rejected
756,Add PyUnicode_Export() and PyUnicode_Import() C functions,Withdrawn
759,External Wheel Hosting,Withdrawn
736,Shorthand syntax for keyword arguments at invocation,Standards Track
743,Add Py_OMIT_LEGACY_API to the Python C API,Standards Track
727,Documentation in Annotated Metadata,Withdrawn
713,Callable Modules,Rejected
679,New assert statement syntax with parentheses,Standards Track
712,Adding a “converter” parameter to dataclasses.field,Rejected
722,Dependency specification for single-file scripts,Rejected
690,Lazy Imports,Rejected
707,A simplified signature for __exit__ and __aexit__,Standards Track
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,Rejected
704,Require virtual environments by default for package installers,Standards Track
650,Specifying Installer Requirements for Python Projects,Standards Track
666,Reject Foolish Indentation,Rejected
651,Robust Stack Overflow Handling,Rejected
662,Editable installs via virtual wheels,Rejected
677,Callable Type Syntax,Rejected
663,"Standardizing Enum str(), repr(), and format() behaviors",Informational
665,A file format to list Python dependencies for reproducibility of an application,Rejected
631,Dependency specification in pyproject.toml based on PEP 508,Superseded
640,Unused variable syntax,Rejected
645,Allow writing optional types as x?,Standards Track
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
648,Extensible customizations of the interpreter at startup,Rejected
637,Support for indexing with keyword arguments,Rejected
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
608,Coordinated Python release,Rejected
601,Forbid return/break/continue breaking out of finally,Rejected
611,The one million limit,Withdrawn
605,A rolling feature release stream for CPython,Informational
620,Hide implementation details from the C API,Withdrawn
622,Structural Pattern Matching,Superseded
606,Python Compatibility Version,Rejected
576,Rationalize Built-in function classes,Standards Track
595,Improving bugs.python.org,Informational
599,The manylinux2014 Platform Tag,Informational
580,The C call protocol,Standards Track
577,Augmented Assignment Expressions,Withdrawn
598,Introducing incremental feature releases,Informational
582,Python local packages directory,Standards Track
583,A Concurrency Memory Model for Python,Withdrawn
571,The manylinux2010 Platform Tag,Superseded
559,Built-in noop(),Rejected
555,Context-local variables (contextvars),Withdrawn
551,Security transparency in the Python runtime,Withdrawn
554,Multiple Interpreters in the Stdlib,Standards Track
558,Defined semantics for locals(),Withdrawn
575,Unifying function/method classes,Withdrawn
563,Postponed Evaluation of Annotations,Standards Track
549,Instance Descriptors,Standards Track
542,Dot Notation Assignment In Function Header,Rejected
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Standards Track
548,More Flexible Loop Control,Rejected
543,A Unified TLS API for Python,Withdrawn
550,Execution Context,Withdrawn
511,API for code transformers,Rejected
522,Allow BlockingIOError in security sensitive APIs,Rejected
513,A Platform Tag for Portable Linux Built Distributions,Superseded
516,Build system abstraction for pip/conda etc,Rejected
521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
534,Improved Errors for Missing Standard Library Modules,Withdrawn
531,Existence checking operators,Withdrawn
536,Final Grammar for Literal String Interpolation,Withdrawn
3126,Remove Implicit String Concatenation,Rejected
509,Add a private version to dict,Superseded
507,Migrate CPython to Git and GitLab,Rejected
504,Using the System RNG by default,Withdrawn
500,A protocol for delegating datetime methods to their tzinfo implementations,Standards Track
502,String Interpolation - Extended Discussion,Rejected
510,Specialize functions with guards,Rejected
501,General purpose template literal strings,Standards Track
496,Environment Markers,Informational
490,Chain exceptions at C level,Rejected
497,A standard mechanism for backward compatibility,Process
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
437,"A DSL for specifying signatures, annotations and argument converters",Rejected
460,Add binary interpolation and formatting,Withdrawn
463,Exception-catching expressions,Rejected
439,Inclusion of implicit pip bootstrap in Python installation,Rejected
459,Standard Metadata Extensions for Python Software Packages,Withdrawn
462,Core development workflow automation for CPython,Withdrawn
455,Adding a key-transforming dictionary to collections,Standards Track
433,Easier suppression of file descriptor inheritance,Superseded
472,Support for indexing with keyword arguments,Standards Track
474,Creating forge.python.org,Withdrawn
469,Migration of dict iteration code to Python 3,Withdrawn
473,Adding structured data to built-in exceptions,Rejected
416,Add a frozendict builtin type,Rejected
431,Time zone support improvements,Standards Track
426,Metadata for Python Software Packages 2.0,Withdrawn
432,Restructuring the CPython startup sequence,Standards Track
413,Faster evolution of the Python Standard Library,Withdrawn
422,Simpler customisation of class creation,Withdrawn
408,Standard library __preview__ package,Rejected
411,Provisional packages in the Python standard library,Superseded
406,Improved Encapsulation of Import State,Withdrawn
402,Simplified Package Layout and Partitioning,Rejected
410,Use decimal.Decimal type for timestamps,Rejected
379,Adding an Assignment Expression,Withdrawn
369,Post import hooks,Withdrawn
367,New Super,Superseded
377,Allow __enter__() methods to skip the statement body,Rejected
381,Mirroring infrastructure for PyPI,Withdrawn
382,Namespace Packages,Rejected
386,Changing the version comparison module in Distutils,Superseded
390,Static metadata for Distutils,Rejected
401,BDFL Retirement,April Fool!
396,Module Version Numbers,Withdrawn
395,Qualified Names for Modules,Withdrawn
365,Adding the pkg_resources module,Rejected
355,Path - Object oriented filesystem paths,Rejected
363,Syntax For Dynamic Attribute Access,Rejected
364,Transitioning to the Py3K Standard Library,Withdrawn
359,The “make” Statement,Withdrawn
351,The freeze protocol,Rejected
350,Codetags,Rejected
354,Enumerations in Python,Superseded
349,Allow str() to return unicode strings,Rejected
330,Python Bytecode Verification,Rejected
336,Make None Callable,Rejected
334,Simple Coroutines via SuspendIteration,Withdrawn
329,Treating Builtins as Constants in the Standard Library,Rejected
339,Design of the CPython Compiler,Withdrawn
332,Byte vectors and String/Unicode Unification,Rejected
335,Overloadable Boolean Operators,Rejected
321,Date/Time Parsing and Formatting,Withdrawn
340,Anonymous Block Statements,Rejected
319,Python Synchronize/Asynchronize Block,Rejected
317,Eliminate Implicit Exception Instantiation,Rejected
325,Resource-Release Support for Generators,Rejected
313,Adding Roman Numeral Literals to Python,Rejected
310,Reliable Acquisition/Release Pairs,Rejected
306,How to Change Python’s Grammar,Withdrawn
326,A Case for Top and Bottom Values,Rejected
314,Metadata for Python Software Packages 1.1,Standards Track
315,Enhanced While Loop,Rejected
304,Controlling Generation of Bytecode Files,Withdrawn
295,Interpretation of multiline string constants,Rejected
297,Support for System Upgrades,Rejected
345,Metadata for Python Software Packages 1.2,Standards Track
299,Special __main__() function in modules,Rejected
348,Exception Reorganization for Python 3.0,Rejected
296,Adding a bytes Object Type,Withdrawn
303,Extend divmod() for Multiple Divisors,Rejected
294,Type Names in the types Module,Rejected
344,Exception Chaining and Embedded Tracebacks,Superseded
346,User Defined (”with”) Statements,Withdrawn
298,The Locked Buffer Interface,Withdrawn
271,Prefixing sys.path by command line option,Rejected
270,uniq method for list objects,Rejected
281,Loop Counter Iteration with range and xrange,Rejected
288,Generators Attributes and Exceptions,Withdrawn
275,Switching on Multiple Values,Rejected
276,Simple Iterator for ints,Rejected
284,Integer for-loops,Rejected
291,Backward Compatibility for the Python 2 Standard Library,Superseded
254,Making Classes Look More Like Types,Rejected
268,Extended HTTP functionality and WebDAV,Rejected
258,Docutils Design Specification,Standards Track
256,Docstring Processing System Framework,Standards Track
259,Omit printing newline after newline,Rejected
266,Optimizing Global Variable/Attribute Access,Withdrawn
265,Sorting Dictionaries by Value,Rejected
241,Metadata for Python Software Packages,Standards Track
242,Numeric Kinds,Withdrawn
244,The directive statement,Rejected
262,A Database of Installed Python Packages,Rejected
243,Module Repository Upload Mechanism,Standards Track
245,Python Interface Syntax,Rejected
246,Object Adaptation,Rejected
220,"Coroutines, Generators, Continuations",Rejected
215,String Interpolation,Superseded
231,__findattr__(),Rejected
224,Attribute Docstrings,Rejected
212,Loop Counter Iteration,Rejected
225,Elementwise/Objectwise Operators,Rejected
239,Adding a Rational Type to Python,Rejected
216,Docstring Format,Withdrawn
228,Reworking Python’s Numeric Model,Withdrawn
210,Decoupling the Interpreter Loop,Rejected
240,Adding a Rational Literal to Python,Rejected
209,Multi-dimensional Arrays,Withdrawn
206,Python Advanced Library,Withdrawn
204,Range Literals,Rejected
9,Sample Plaintext PEP Template,Withdrawn
211,Adding A New Outer Product Operator,Rejected
102,Doing Python Micro Releases,Superseded
42,Feature Requests,Withdrawn
103,Collecting information about git,Withdrawn
3,Guidelines for Handling Bug Reports,Withdrawn
778,Supporting Symlinks in Wheels,Standards Track
787,Safer subprocess usage using t-strings,Standards Track
674,Disallow using macros as l-values,Deferred
568,Generator-sensitivity for Context Variables,Deferred
556,Threaded garbage collection,Deferred
774,Removing the LLVM requirement for JIT builds,Standards Track
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Standards Track
3143,Standard daemon process library,Deferred
491,The Wheel Binary Package Format 1.9,Standards Track
505,None-aware operators,Deferred
547,Running extension modules using the -m option,Deferred
499,python -m foo should also bind 'foo' in sys.modules,Standards Track
3150,Statement local namespaces (aka “given” clause),Deferred
533,Deterministic cleanup for iterators,Standards Track
535,Rich comparison chaining,Deferred
532,A circuit breaking protocol and binary operators,Deferred
419,Protecting cleanup statements from interruptions,Deferred
403,General purpose decorator clause (aka “@in” clause),Deferred
407,New release cycle and introducing long-term support versions,Deferred
447,Add __getdescriptor__ method to metaclass,Deferred
423,Naming conventions and recipes related to packaging,Informational
444,Python Web3 Interface,Informational
269,Pgen Module for Python,Deferred
267,Optimized Access to Module Namespaces,Deferred
286,Enhanced Argument Tuples,Deferred
337,Logging Usage in the Standard Library,Deferred
280,Optimizing access to globals,Deferred
316,Programming by Contract for Python,Deferred
323,Copyable Iterators,Deferred
312,Simple Implicit Lambda,Deferred
213,Attribute Access Handlers,Deferred
400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
8001,Python Governance Voting Process,Final
219,Stackless Python,Deferred
233,Python Online Help,Deferred
222,Web Library Enhancements,Deferred
3100,Miscellaneous Python 3.0 Plans,Final
368,Standard image protocol and class,Deferred
541,Package Index Name Retention,Final
569,Python 3.8 Release Schedule,Final
537,Python 3.7 Release Schedule,Final
596,Python 3.9 Release Schedule,Informational
3000,Python 3000,Final
581,Using GitHub Issues for CPython,Final
3002,Procedure for Backwards-Incompatible Changes,Final
3099,Things that will Not Change in Python 3000,Final
3003,Python Language Moratorium,Final
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
464,Removal of the PyPI Mirror Authenticity API,Final
478,Python 3.5 Release Schedule,Final
438,Transitioning to release-file hosting on PyPI,Superseded
494,Python 3.6 Release Schedule,Final
512,Migrating from hg.python.org to GitHub,Process
470,Removing External Hosting Support on PyPI,Final
398,Python 3.3 Release Schedule,Final
385,Migrating from Subversion to Mercurial,Final
404,Python 2.8 Un-release Schedule,Final
429,Python 3.4 Release Schedule,Final
375,Python 3.1 Release Schedule,Final
392,Python 3.2 Release Schedule,Final
373,Python 2.7 Release Schedule,Final
347,Migrating the Python CVS to Subversion,Process
361,Python 2.6 and 3.0 Release Schedule,Final
320,Python 2.4 Release Schedule,Final
356,Python 2.5 Release Schedule,Final
360,Externally Maintained Packages,Final
283,Python 2.3 Release Schedule,Final
5,Guidelines for Language Evolution,Superseded
3155,Qualified name for classes and functions,Final
3154,Pickle protocol version 4,Final
160,Python 1.6 Release Schedule,Final
226,Python 2.1 Release Schedule,Final
200,Python 2.0 Release Schedule,Final
6,Bug Fix Releases,Superseded
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
374,Choosing a distributed VCS for the Python project,Final
251,Python 2.2 Release Schedule,Final
3149,ABI version tagged .so files,Final
3144,IP Address Manipulation Library for the Python Standard Library,Final
3147,PYC Repository Directories,Final
3148,futures - execute computations asynchronously,Final
3141,A Type Hierarchy for Numbers,Final
3151,Reworking the OS and IO exception hierarchy,Standards Track
3137,Immutable Bytes and Mutable Buffer,Final
3123,Making PyObject_HEAD conform to standard C,Final
3132,Extended Iterable Unpacking,Final
3129,Class Decorators,Final
3135,New Super,Final
3131,Supporting Non-ASCII Identifiers,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3121,Extension Module Initialization and Finalization,Final
3127,Integer Literal Support and Syntax,Standards Track
3118,Revising the buffer protocol,Final
3112,Bytes literals in Python 3000,Final
3115,Metaclasses in Python 3000,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3113,Removal of Tuple Parameter Unpacking,Final
3120,Using UTF-8 as the default source encoding,Final
3116,New I/O,Final
3108,Standard Library Reorganization,Final
3119,Introducing Abstract Base Classes,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3110,Catching Exceptions in Python 3000,Final
3111,Simple input built-in in Python 3000,Final
3109,Raising Exceptions in Python 3000,Final
3105,Make print a function,Final
3107,Function Annotations,Final
3102,Keyword-Only Arguments,Final
3138,String representation in Python 3000,Final
815,Deprecate RECORD.jws and RECORD.p7s,Standards Track
814,Add frozendict built-in type,Standards Track
800,Disjoint bases in the type system,Standards Track
829,Package Startup Configuration Files,Standards Track
792,Project status markers in the simple index,Standards Track
3104,Access to Names in Outer Scopes,Final
788,Protecting the C API from Interpreter Finalization,Final
831,Frame Pointers Everywhere: Enabling System-Level Observability for Python,Standards Track
791,math.integer — submodule for integer-specific mathematics functions,Final
3101,Advanced String Formatting,Final
758,Allow except and except* expressions without parentheses,Final
798,Unpacking in Comprehensions,Final
757,C API to import-export Python integers,Standards Track
753,Uniform project URLs in core metadata,Standards Track
768,Safe external debugger interface for CPython,Standards Track
770,Improving measurability of Python packages with Software Bill-of-Materials,Standards Track
765,Disallow return/break/continue that exit a finally block,Standards Track
784,Adding Zstandard to the standard library,Final
782,Add PyBytesWriter C API,Standards Track
779,Criteria for supported status for free-threaded Python,Standards Track
773,A Python Installation Manager for Windows,Standards Track
742,Narrowing types with TypeIs,Standards Track
721,Using tarfile.data_filter for source distribution extraction,Standards Track
723,Inline script metadata,Standards Track
728,TypedDict with Typed Extra Items,Final
747,Annotating Type Forms,Final
741,Python Configuration C API,Standards Track
730,Adding iOS as a supported platform,Final
737,C API to format a type fully qualified name,Standards Track
738,Adding Android as a supported platform,Final
740,Index support for digital attestations,Standards Track
749,Implementing PEP 649,Standards Track
715,Disabling bdist_egg distribution uploads on PyPI,Standards Track
705,TypedDict: Read-only items,Final
709,Inlined comprehensions,Final
706,Filter for tarfile.extractall,Standards Track
735,Dependency Groups in pyproject.toml,Standards Track
702,Marking deprecations using the type system,Standards Track
750,Template Strings,Standards Track
734,Multiple Interpreters in the Stdlib,Standards Track
697,Limited C API for Extending Opaque Types,Standards Track
699,Remove private dict version field added in PEP 509,Standards Track
703,Making the Global Interpreter Lock Optional in CPython,Final
700,Additional Fields for the Simple API for Package Indexes,Final
701,Syntactic formalization of f-strings,Standards Track
698,Override Decorator for Static Typing,Final
696,Type Defaults for Type Parameters,Final
751,A file format to record Python dependencies for installation reproducibility,Final
692,Using TypedDict for more precise **kwargs typing,Final
686,Make UTF-8 mode default,Standards Track
695,Type Parameter Syntax,Final
688,Making the buffer protocol accessible in Python,Standards Track
685,Comparison of extra names for optional distribution dependencies,Final
689,Unstable C API tier,Standards Track
691,JSON-based Simple API for Python Package Indexes,Final
678,Enriching Exceptions with Notes,Final
682,Format Specifier for Signed Zero,Standards Track
680,tomllib: Support for Parsing TOML in the Standard Library,Final
681,Data Class Transforms,Final
675,Arbitrary Literal String Type,Final
683,"Immortal Objects, Using a Fixed Refcount",Standards Track
684,A Per-Interpreter GIL,Standards Track
687,Isolating modules in the standard library,Standards Track
661,Sentinel Values,Standards Track
670,Convert macros to functions in the Python C API,Final
656,Platform Tag for Linux Distributions Using Musl,Standards Track
660,Editable installs for pyproject.toml based builds (wheel based),Final
657,Include Fine Grained Error Locations in Tracebacks,Standards Track
669,Low Impact Monitoring for CPython,Standards Track
668,Marking Python base environments as “externally managed”,Final
667,Consistent views of namespaces,Standards Track
673,Self Type,Final
647,User-Defined Type Guards,Final
652,Maintaining the Stable ABI,Standards Track
655,Marking individual TypedDict items as required or potentially-missing,Final
644,Require OpenSSL 1.1.1 or newer,Standards Track
654,Exception Groups and except*,Standards Track
649,Deferred Evaluation Of Annotations Using Descriptors,Standards Track
646,Variadic Generics,Standards Track
627,Recording installed projects,Final
643,Metadata for Package Source Distributions,Final
632,Deprecate distutils module,Standards Track
629,Versioning PyPI’s Simple API,Final
634,Structural Pattern Matching: Specification,Final
626,Precise line numbers for debugging and other tools.,Standards Track
625,Filename of a Source Distribution,Final
623,Remove wstr from Unicode,Final
618,Add Optional Length-Checking To zip,Final
615,Support for the IANA Time Zone Database in the Standard Library,Standards Track
616,String methods to remove prefixes and suffixes,Standards Track
617,New PEG parser for CPython,Standards Track
624,Remove Py_UNICODE encoder APIs,Final
